"year" "age" "f" "m"
"1" 2002 0 287641 301650
"2" 2002 1 289486 301593
"3" 2002 2 296328 310486
"4" 2002 3 304234 318775
"5" 2002 4 309955 324180
"6" 2002 5 317423 333437
"7" 2002 6 314679 331486
"8" 2002 7 315285 332287
"9" 2002 8 323732 340325
"10" 2002 9 327317 343370
"11" 2002 10 338444 353809
"12" 2002 11 343047 360151
"13" 2002 12 336216 353466
"14" 2002 13 333000 348695
"15" 2002 14 336636 351455
"16" 2002 15 328518 342759
"17" 2002 16 323405 340872
"18" 2002 17 324612 345015
"19" 2002 18 314786 334022
"20" 2002 19 311795 327621
"21" 2002 20 315513 317079
"22" 2002 21 331110 330054
"23" 2002 22 335066 333455
"24" 2002 23 324742 323222
"25" 2002 24 311369 308981
"26" 2002 25 311297 311594
"27" 2002 26 320576 323600
"28" 2002 27 333849 336643
"29" 2002 28 347167 348022
"30" 2002 29 368182 369781
"31" 2002 30 389841 385184
"32" 2002 31 401608 396108
"33" 2002 32 397491 393630
"34" 2002 33 408953 403126
"35" 2002 34 412220 406532
"36" 2002 35 420766 418007
"37" 2002 36 422869 417442
"38" 2002 37 424925 418196
"39" 2002 38 421318 413878
"40" 2002 39 413906 406753
"41" 2002 40 403623 397769
"42" 2002 41 392130 387363
"43" 2002 42 376595 373687
"44" 2002 43 369236 366354
"45" 2002 44 363833 361341
"46" 2002 45 351510 346222
"47" 2002 46 340035 333961
"48" 2002 47 331779 325078
"49" 2002 48 334374 327539
"50" 2002 49 330952 324806
"51" 2002 50 328175 322094
"52" 2002 51 330264 323733
"53" 2002 52 340792 333182
"54" 2002 53 350980 344498
"55" 2002 54 376952 370101
"56" 2002 55 397707 391421
"57" 2002 56 323418 316798
"58" 2002 57 316398 309694
"59" 2002 58 309339 303510
"60" 2002 59 295609 289006
"61" 2002 60 267531 259489
"62" 2002 61 251092 242059
"63" 2002 62 261261 251564
"64" 2002 63 262255 251326
"65" 2002 64 258971 248545
"66" 2002 65 252817 240664
"67" 2002 66 246378 231667
"68" 2002 67 239294 223530
"69" 2002 68 230746 211757
"70" 2002 69 230254 207344
"71" 2002 70 231564 205381
"72" 2002 71 233264 200991
"73" 2002 72 228842 191897
"74" 2002 73 220842 181466
"75" 2002 74 212077 171154
"76" 2002 75 209988 165258
"77" 2002 76 206011 157080
"78" 2002 77 199666 145953
"79" 2002 78 194211 136242
"80" 2002 79 189164 126959
"81" 2002 80 189890 121847
"82" 2002 81 190366 116146
"83" 2002 82 177014 104892
"84" 2002 83 126376 71367
"85" 2002 84 102065 53849
"86" 2002 85 104356 51887
"87" 2002 86 100029 46689
"88" 2002 87 96545 42129
"89" 2002 88 85429 34934
"90" 2002 89 73147 28025
"91" 2002 90 61700 23250
"92" 2002 91 50610 17310
"93" 2002 92 41560 13110
"94" 2002 93 32770 9300
"95" 2002 94 25570 6630
"96" 2002 95 18470 4430
"97" 2002 96 13100 2840
"98" 2002 97 9090 1820
"99" 2002 98 6340 1060
"100" 2002 99 4200 620
"101" 2002 100 2600 350
"102" 2002 101 1580 210
"103" 2002 102 970 120
"104" 2002 103 490 40
"105" 2002 104 260 20
"106" 2002 105 280 20
"107" 2003 0 295008 311829
"108" 2003 1 287867 302325
"109" 2003 2 290608 303249
"110" 2003 3 297596 312220
"111" 2003 4 305966 320895
"112" 2003 5 311936 326102
"113" 2003 6 319453 335337
"114" 2003 7 316694 333713
"115" 2003 8 317207 333835
"116" 2003 9 325734 342130
"117" 2003 10 328553 345082
"118" 2003 11 339853 354843
"119" 2003 12 344353 361222
"120" 2003 13 336657 353953
"121" 2003 14 333848 348342
"122" 2003 15 338426 351516
"123" 2003 16 331098 342047
"124" 2003 17 326195 342083
"125" 2003 18 328756 348203
"126" 2003 19 321225 339550
"127" 2003 20 317668 329009
"128" 2003 21 322450 320737
"129" 2003 22 338790 334337
"130" 2003 23 342923 339045
"131" 2003 24 332249 329083
"132" 2003 25 316688 314522
"133" 2003 26 316348 317014
"134" 2003 27 325207 328392
"135" 2003 28 338120 341242
"136" 2003 29 350693 352349
"137" 2003 30 370405 370562
"138" 2003 31 391415 385969
"139" 2003 32 403892 397184
"140" 2003 33 398899 393848
"141" 2003 34 410182 403262
"142" 2003 35 411879 408023
"143" 2003 36 420049 419182
"144" 2003 37 422439 418437
"145" 2003 38 424703 419159
"146" 2003 39 421152 415206
"147" 2003 40 413862 406404
"148" 2003 41 403651 397689
"149" 2003 42 391855 387208
"150" 2003 43 376489 373474
"151" 2003 44 369180 366111
"152" 2003 45 363313 360873
"153" 2003 46 351064 345889
"154" 2003 47 339604 333616
"155" 2003 48 331031 324387
"156" 2003 49 333686 326871
"157" 2003 50 329653 324030
"158" 2003 51 326346 320718
"159" 2003 52 328574 322481
"160" 2003 53 339052 331499
"161" 2003 54 349040 342664
"162" 2003 55 373967 366732
"163" 2003 56 395878 389192
"164" 2003 57 320433 313515
"165" 2003 58 313595 306471
"166" 2003 59 307145 301078
"167" 2003 60 293879 286036
"168" 2003 61 266104 256582
"169" 2003 62 249041 238608
"170" 2003 63 259172 247984
"171" 2003 64 260116 247568
"172" 2003 65 256596 243800
"173" 2003 66 250095 235621
"174" 2003 67 243571 226713
"175" 2003 68 236453 218516
"176" 2003 69 227495 206247
"177" 2003 70 226520 201562
"178" 2003 71 227552 199280
"179" 2003 72 228546 194064
"180" 2003 73 223755 184709
"181" 2003 74 215255 173905
"182" 2003 75 206073 163385
"183" 2003 76 202998 156858
"184" 2003 77 198484 148230
"185" 2003 78 191623 136965
"186" 2003 79 185436 127002
"187" 2003 80 179684 117548
"188" 2003 81 179439 111865
"189" 2003 82 178445 105378
"190" 2003 83 164224 94015
"191" 2003 84 117521 64322
"192" 2003 85 93152 47185
"193" 2003 86 94108 45142
"194" 2003 87 89161 39709
"195" 2003 88 84928 35609
"196" 2003 89 73922 28895
"197" 2003 90 63650 24110
"198" 2003 91 51610 18360
"199" 2003 92 41380 13440
"200" 2003 93 33090 9810
"201" 2003 94 25610 6800
"202" 2003 95 19460 4740
"203" 2003 96 13750 3050
"204" 2003 97 9450 1920
"205" 2003 98 6340 1220
"206" 2003 99 4330 670
"207" 2003 100 2740 360
"208" 2003 101 1660 190
"209" 2003 102 970 120
"210" 2003 103 570 60
"211" 2003 104 280 20
"212" 2003 105 320 30
"213" 2004 0 306222 322654
"214" 2004 1 294420 311879
"215" 2004 2 287723 303154
"216" 2004 3 291443 304972
"217" 2004 4 298703 314157
"218" 2004 5 308009 322778
"219" 2004 6 313586 327717
"220" 2004 7 321400 337185
"221" 2004 8 318500 335836
"222" 2004 9 318919 335244
"223" 2004 10 326342 343840
"224" 2004 11 328890 346017
"225" 2004 12 340033 354740
"226" 2004 13 344275 361303
"227" 2004 14 335540 353310
"228" 2004 15 334962 348522
"229" 2004 16 340503 351533
"230" 2004 17 333656 341112
"231" 2004 18 330487 344427
"232" 2004 19 336335 352695
"233" 2004 20 326626 343435
"234" 2004 21 326344 335933
"235" 2004 22 332908 330817
"236" 2004 23 348548 345278
"237" 2004 24 352734 350813
"238" 2004 25 339903 335086
"239" 2004 26 322718 319456
"240" 2004 27 321980 321618
"241" 2004 28 330618 332623
"242" 2004 29 342934 344845
"243" 2004 30 352034 353321
"244" 2004 31 371583 371690
"245" 2004 32 391861 386884
"246" 2004 33 404587 398050
"247" 2004 34 399262 394021
"248" 2004 35 411498 403570
"249" 2004 36 413008 407642
"250" 2004 37 420693 418758
"251" 2004 38 423206 417894
"252" 2004 39 425564 418627
"253" 2004 40 421603 413560
"254" 2004 41 413875 404791
"255" 2004 42 403815 396771
"256" 2004 43 391591 385828
"257" 2004 44 376295 372347
"258" 2004 45 368285 366017
"259" 2004 46 362279 360416
"260" 2004 47 350112 345348
"261" 2004 48 338693 333268
"262" 2004 49 329828 323517
"263" 2004 50 332138 325062
"264" 2004 51 328300 322491
"265" 2004 52 324492 318501
"266" 2004 53 326833 320479
"267" 2004 54 337189 329006
"268" 2004 55 347108 340397
"269" 2004 56 371229 363627
"270" 2004 57 394450 387349
"271" 2004 58 317850 310600
"272" 2004 59 310943 303486
"273" 2004 60 305567 298443
"274" 2004 61 291714 282765
"275" 2004 62 264174 253345
"276" 2004 63 246583 234830
"277" 2004 64 256608 244035
"278" 2004 65 257408 242803
"279" 2004 66 253853 238980
"280" 2004 67 247029 230650
"281" 2004 68 240190 221517
"282" 2004 69 233058 212989
"283" 2004 70 223843 200775
"284" 2004 71 222455 195551
"285" 2004 72 223012 192798
"286" 2004 73 223402 187068
"287" 2004 74 218257 177346
"288" 2004 75 208975 166314
"289" 2004 76 199689 155486
"290" 2004 77 195637 148367
"291" 2004 78 190473 139499
"292" 2004 79 183124 127982
"293" 2004 80 176381 117695
"294" 2004 81 169897 108018
"295" 2004 82 168382 101965
"296" 2004 83 166052 94801
"297" 2004 84 151070 83249
"298" 2004 85 108295 57517
"299" 2004 86 83868 40755
"300" 2004 87 83891 38536
"301" 2004 88 78236 33242
"302" 2004 89 73625 29567
"303" 2004 90 64340 25010
"304" 2004 91 53290 19110
"305" 2004 92 42190 14340
"306" 2004 93 33000 10210
"307" 2004 94 25550 7130
"308" 2004 95 19490 4850
"309" 2004 96 14390 3310
"310" 2004 97 9800 2070
"311" 2004 98 6530 1270
"312" 2004 99 4330 780
"313" 2004 100 2830 420
"314" 2004 101 1770 210
"315" 2004 102 1020 90
"316" 2004 103 560 70
"317" 2004 104 310 30
"318" 2004 105 300 30
"319" 2005 0 312113 327191
"320" 2005 1 306584 322159
"321" 2005 2 295324 311945
"322" 2005 3 288721 303712
"323" 2005 4 293177 306341
"324" 2005 5 299492 314889
"325" 2005 6 309025 323646
"326" 2005 7 314468 328630
"327" 2005 8 322453 337953
"328" 2005 9 319439 337199
"329" 2005 10 319867 337041
"330" 2005 11 327640 346012
"331" 2005 12 329679 347143
"332" 2005 13 340835 355231
"333" 2005 14 344872 361873
"334" 2005 15 337062 354579
"335" 2005 16 337345 349556
"336" 2005 17 343722 351648
"337" 2005 18 339947 341392
"338" 2005 19 340896 348641
"339" 2005 20 344516 356820
"340" 2005 21 337716 349649
"341" 2005 22 341741 345101
"342" 2005 23 347020 342246
"343" 2005 24 362008 356763
"344" 2005 25 363734 360085
"345" 2005 26 350189 344005
"346" 2005 27 330951 326962
"347" 2005 28 329808 329247
"348" 2005 29 337797 339243
"349" 2005 30 348555 347723
"350" 2005 31 356622 355866
"351" 2005 32 375675 374208
"352" 2005 33 394736 388983
"353" 2005 34 407762 400234
"354" 2005 35 400394 397354
"355" 2005 36 412459 406323
"356" 2005 37 413746 409825
"357" 2005 38 420953 420409
"358" 2005 39 423440 419203
"359" 2005 40 425877 419564
"360" 2005 41 421930 414393
"361" 2005 42 413816 405591
"362" 2005 43 403937 397834
"363" 2005 44 391330 386460
"364" 2005 45 375836 371965
"365" 2005 46 367918 365463
"366" 2005 47 361580 359465
"367" 2005 48 349554 344460
"368" 2005 49 338083 332518
"369" 2005 50 328519 322881
"370" 2005 51 330902 324562
"371" 2005 52 327273 322151
"372" 2005 53 322929 317588
"373" 2005 54 325292 319715
"374" 2005 55 335359 327499
"375" 2005 56 344993 338425
"376" 2005 57 368517 360903
"377" 2005 58 393103 385885
"378" 2005 59 315084 307913
"379" 2005 60 307976 300034
"380" 2005 61 303218 295650
"381" 2005 62 288963 279413
"382" 2005 63 261480 250000
"383" 2005 64 243389 230879
"384" 2005 65 253947 239858
"385" 2005 66 254647 238510
"386" 2005 67 250929 234488
"387" 2005 68 243716 225744
"388" 2005 69 236740 216427
"389" 2005 70 229606 207837
"390" 2005 71 220102 195198
"391" 2005 72 218024 189534
"392" 2005 73 218332 186380
"393" 2005 74 217989 180201
"394" 2005 75 212364 170327
"395" 2005 76 202453 158593
