"year" "age" "f" "m"
"1" 2019 0 315623 333765
"2" 2019 1 329379 347033
"3" 2019 2 340628 358209
"4" 2019 3 351125 369596
"5" 2019 4 350512 369309
"6" 2019 5 353992 372325
"7" 2019 6 361919 380825
"8" 2019 7 373679 391546
"9" 2019 8 365717 384456
"10" 2019 9 360005 377526
"11" 2019 10 354261 372267
"12" 2019 11 357185 376082
"13" 2019 12 345303 364655
"14" 2019 13 339871 356851
"15" 2019 14 326276 342314
"16" 2019 15 320916 337364
"17" 2019 16 311260 329348
"18" 2019 17 306835 325550
"19" 2019 18 318239 335493
"20" 2019 19 328346 349262
"21" 2019 20 343967 364369
"22" 2019 21 349072 371626
"23" 2019 22 363222 385032
"24" 2019 23 365921 389905
"25" 2019 24 369019 388132
"26" 2019 25 381121 401477
"27" 2019 26 384630 399460
"28" 2019 27 399977 407271
"29" 2019 28 405504 419256
"30" 2019 29 398772 412201
"31" 2019 30 399102 403707
"32" 2019 31 406246 404660
"33" 2019 32 399740 391092
"34" 2019 33 399338 399077
"35" 2019 34 399663 398283
"36" 2019 35 392203 385617
"37" 2019 36 395886 387931
"38" 2019 37 395296 386129
"39" 2019 38 397106 389897
"40" 2019 39 397545 390952
"41" 2019 40 379931 376940
"42" 2019 41 353510 351931
"43" 2019 42 348375 346480
"44" 2019 43 355861 350755
"45" 2019 44 362318 357752
"46" 2019 45 369438 362929
"47" 2019 46 384993 378695
"48" 2019 47 401024 394915
"49" 2019 48 416836 404794
"50" 2019 49 406320 394940
"51" 2019 50 416100 404023
"52" 2019 51 415151 403097
"53" 2019 52 419196 410430
"54" 2019 53 420844 407359
"55" 2019 54 422430 409311
"56" 2019 55 417699 405400
"57" 2019 56 407513 395372
"58" 2019 57 397127 386992
"59" 2019 58 382989 372260
"60" 2019 59 367324 355455
"61" 2019 60 358544 346521
"62" 2019 61 350333 338742
"63" 2019 62 337054 324648
"64" 2019 63 324317 312135
"65" 2019 64 313302 299092
"66" 2019 65 315064 297830
"67" 2019 66 309565 293332
"68" 2019 67 301315 282145
"69" 2019 68 302725 282360
"70" 2019 69 308849 285697
"71" 2019 70 314691 292274
"72" 2019 71 331407 305799
"73" 2019 72 356503 329666
"74" 2019 73 274465 249941
"75" 2019 74 264760 239106
"76" 2019 75 261370 234760
"77" 2019 76 242170 212840
"78" 2019 77 215248 185570
"79" 2019 78 192062 162379
"80" 2019 79 196409 164663
"81" 2019 80 192105 158350
"82" 2019 81 183494 148761
"83" 2019 82 171612 135371
"84" 2019 83 159775 122422
"85" 2019 84 147538 110254
"86" 2019 85 132916 95281
"87" 2019 86 121951 84226
"88" 2019 87 113232 74839
"89" 2019 88 102766 64453
"90" 2019 89 90545 53447
"91" 2019 90 76690 44650
"92" 2019 91 64340 35010
"93" 2019 92 54000 27760
"94" 2019 93 44430 21160
"95" 2019 94 35760 15440
"96" 2019 95 27950 11070
"97" 2019 96 21480 7630
"98" 2019 97 16270 5310
"99" 2019 98 12110 3560
"100" 2019 99 8760 2240
"101" 2019 100 3810 890
"102" 2019 101 2350 490
"103" 2019 102 1610 310
"104" 2019 103 1000 190
"105" 2019 104 620 100
"106" 2019 105 670 130
