...1,...2,90 & over3,4,90-993,100 & over3,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105 & over
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persons,2002,330570,324030,6550,80060,64000,51600,39640,30320,21620,15030,10240,6980,4550,2790,1680,1020,510,270,290
NA,2003,339620,332740,6880,82920,65980,51660,40490,30530,22760,15860,10720,7110,4710,2900,1760,1020,600,280,320
NA,2004,347710,340510,7210,84230,68440,53350,40750,30790,22930,16690,11180,7360,4790,3050,1860,1060,590,340,300
NA,2005,355450,347930,7530,83730,69820,55660,42380,31620,23170,16940,11960,7720,4930,3210,1910,1130,620,330,340
NA,2006,357180,349260,7920,79650,69300,56400,44070,32970,23940,17140,12170,8400,5230,3310,2030,1180,680,360,350
NA,2007,357580,349130,8450,75440,66780,56830,45300,34760,25180,17740,12630,8640,5840,3520,2150,1260,720,400,410
NA,2008,347350,338390,8960,67780,62910,54730,45310,35400,26400,18550,12820,8740,5760,3830,2250,1330,710,410,440
NA,2009,360120,350510,9610,75060,59660,54070,46010,37290,28250,20630,13930,9390,6220,3890,2570,1460,820,410,460
NA,2010,386270,376490,9780,112440,60830,47370,42000,34980,27830,20420,14650,9650,6320,4040,2400,1550,850,470,470
NA,2011,414410,404190,10230,109290,94000,49980,38180,33110,26890,20810,14910,10380,6630,4190,2570,1490,910,500,560
NA,2012,438080,427260,10820,106530,92650,78200,40650,30450,25650,20170,15250,10590,7120,4440,2740,1590,940,530,600
NA,2013,450410,439300,11110,104360,89490,76260,62890,31940,23230,18910,14510,10680,7030,4620,2810,1650,930,490,610
NA,2014,470410,458540,11870,105770,89180,75160,62670,50690,25060,17690,14160,10530,7630,4850,3060,1770,1030,560,600
NA,2015,474970,463130,11840,106240,88520,73040,60150,48910,38590,18390,12570,9690,7040,4850,3020,1780,1020,580,590
NA,2016,487850,475800,12050,108570,90090,73550,59390,48020,38000,29040,13480,8970,6680,4730,3120,1890,1060,600,660
NA,2017,495240,483480,11760,109590,91270,74550,59410,46910,36770,28300,21140,9480,6070,4410,3020,1930,1130,610,670
NA,2018,499280,488360,10920,110150,92080,75170,59810,46810,35830,27270,20230,14630,6370,3970,2750,1780,1120,610,700
NA,2019,517270,505800,11480,114530,93930,77220,61820,48340,36840,27550,20370,14800,10410,4420,2670,1800,1130,690,760
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Males,2002,76620,75900,720,21940,16350,12380,8780,6260,4210,2670,1720,990,590,330,200,110,40,20,20
NA,2003,80150,79420,730,22770,17350,12680,9260,6410,4470,2890,1810,1160,630,340,180,110,60,20,30
NA,2004,83980,83180,800,23600,18060,13570,9630,6720,4580,3130,1950,1200,740,390,200,90,70,30,30
