period,x,m_mx,m_qx,m_lx,m_dx,m_ex,blank,f_mx,f_qx,f_lx,f_dx,f_ex
2017-2019,0,0.004323,0.004314,100000,431.4,79.61,NA,0.00357,0.003564,100000,356.4,83.27
2017-2019,1,2.43e-4,2.43e-4,99568.6,24.2,78.95,NA,2.16e-4,2.16e-4,99643.6,21.6,82.57
2017-2019,2,1.32e-4,1.32e-4,99544.4,13.2,77.97,NA,1.27e-4,1.27e-4,99622,12.6,81.59
2017-2019,3,1.04e-4,1.04e-4,99531.2,10.4,76.98,NA,9.7e-5,9.7e-5,99609.4,9.7,80.6
2017-2019,4,9.4e-5,9.4e-5,99520.9,9.4,75.99,NA,7e-5,7e-5,99599.7,6.9,79.61
2017-2019,5,8.7e-5,8.7e-5,99511.5,8.6,75,NA,8.7e-5,8.7e-5,99592.8,8.6,78.61
2017-2019,6,8.8e-5,8.8e-5,99502.9,8.7,74,NA,7.7e-5,7.7e-5,99584.2,7.7,77.62
2017-2019,7,7.1e-5,7.1e-5,99494.1,7.1,73.01,NA,6.3e-5,6.3e-5,99576.5,6.3,76.63
2017-2019,8,6.6e-5,6.6e-5,99487,6.5,72.01,NA,6.3e-5,6.3e-5,99570.2,6.3,75.63
2017-2019,9,6.2e-5,6.2e-5,99480.5,6.1,71.02,NA,5.5e-5,5.5e-5,99563.9,5.5,74.64
2017-2019,10,7.5e-5,7.5e-5,99474.4,7.5,70.02,NA,6.4e-5,6.4e-5,99558.4,6.3,73.64
2017-2019,11,8.3e-5,8.3e-5,99466.9,8.3,69.03,NA,6.1e-5,6.1e-5,99552.1,6,72.64
2017-2019,12,1.08e-4,1.08e-4,99458.7,10.7,68.03,NA,5.7e-5,5.7e-5,99546,5.6,71.65
2017-2019,13,1.26e-4,1.26e-4,99447.9,12.6,67.04,NA,7.9e-5,7.9e-5,99540.4,7.9,70.65
2017-2019,14,1.16e-4,1.16e-4,99435.4,11.5,66.05,NA,9.4e-5,9.4e-5,99532.5,9.4,69.66
2017-2019,15,1.72e-4,1.72e-4,99423.9,17.1,65.06,NA,1.04e-4,1.04e-4,99523.1,10.3,68.66
2017-2019,16,2.17e-4,2.16e-4,99406.8,21.5,64.07,NA,1.42e-4,1.42e-4,99512.7,14.2,67.67
2017-2019,17,3.02e-4,3.02e-4,99385.3,30.1,63.08,NA,1.53e-4,1.53e-4,99498.6,15.2,66.68
2017-2019,18,3.87e-4,3.87e-4,99355.2,38.4,62.1,NA,2.15e-4,2.15e-4,99483.4,21.4,65.69
2017-2019,19,4.26e-4,4.26e-4,99316.8,42.3,61.12,NA,2.02e-4,2.02e-4,99462,20.1,64.71
2017-2019,20,5.01e-4,5.01e-4,99274.5,49.7,60.15,NA,1.79e-4,1.79e-4,99441.9,17.8,63.72
2017-2019,21,4.98e-4,4.98e-4,99224.8,49.4,59.18,NA,2.06e-4,2.06e-4,99424.1,20.5,62.73
2017-2019,22,4.82e-4,4.82e-4,99175.4,47.8,58.21,NA,2.22e-4,2.22e-4,99403.6,22.1,61.74
2017-2019,23,4.71e-4,4.71e-4,99127.6,46.7,57.24,NA,2e-4,2e-4,99381.5,19.9,60.76
2017-2019,24,5.14e-4,5.14e-4,99081,50.9,56.26,NA,2.19e-4,2.19e-4,99361.6,21.7,59.77
2017-2019,25,5.45e-4,5.45e-4,99030.1,53.9,55.29,NA,2.52e-4,2.52e-4,99339.9,25,58.78
2017-2019,26,5.5e-4,5.5e-4,98976.1,54.4,54.32,NA,2.58e-4,2.58e-4,99314.9,25.6,57.8
2017-2019,27,5.88e-4,5.88e-4,98921.7,58.1,53.35,NA,2.8e-4,2.8e-4,99289.2,27.8,56.81
2017-2019,28,6.47e-4,6.47e-4,98863.6,63.9,52.38,NA,3.07e-4,3.07e-4,99261.4,30.5,55.83
2017-2019,29,6.78e-4,6.78e-4,98799.6,67,51.42,NA,3.01e-4,3.01e-4,99230.9,29.9,54.84
2017-2019,30,7.2e-4,7.19e-4,98732.6,71,50.45,NA,3.6e-4,3.59e-4,99201,35.7,53.86
2017-2019,31,7.88e-4,7.88e-4,98661.6,77.7,49.49,NA,3.81e-4,3.81e-4,99165.4,37.8,52.88
2017-2019,32,7.69e-4,7.68e-4,98583.9,75.7,48.53,NA,4.33e-4,4.32e-4,99127.6,42.9,51.9
2017-2019,33,8.78e-4,8.78e-4,98508.1,86.5,47.56,NA,4.62e-4,4.62e-4,99084.7,45.8,50.92
2017-2019,34,8.94e-4,8.94e-4,98421.7,88,46.6,NA,5.37e-4,5.37e-4,99038.9,53.1,49.94
2017-2019,35,9.94e-4,9.94e-4,98333.7,97.7,45.64,NA,5.56e-4,5.56e-4,98985.8,55,48.97
2017-2019,36,0.001064,0.001064,98236,104.5,44.69,NA,5.93e-4,5.93e-4,98930.7,58.6,48
2017-2019,37,0.00123,0.001229,98131.5,120.6,43.74,NA,7.49e-4,7.49e-4,98872.1,74,47.03
2017-2019,38,0.001185,0.001185,98010.9,116.1,42.79,NA,7.1e-4,7.09e-4,98798.1,70.1,46.06
2017-2019,39,0.00131,0.001309,97894.7,128.2,41.84,NA,7.83e-4,7.82e-4,98728,77.3,45.09
2017-2019,40,0.001456,0.001455,97766.6,142.3,40.89,NA,8.47e-4,8.46e-4,98650.7,83.5,44.13
2017-2019,41,0.001552,0.00155,97624.3,151.4,39.95,NA,9.29e-4,9.29e-4,98567.2,91.5,43.17
2017-2019,42,0.0017,0.001699,97473,165.6,39.01,NA,0.001026,0.001025,98475.7,100.9,42.21
2017-2019,43,0.001882,0.00188,97307.4,183,38.08,NA,0.001114,0.001113,98374.8,109.5,41.25
2017-2019,44,0.001975,0.001973,97124.4,191.7,37.15,NA,0.001272,0.001271,98265.3,124.9,40.29
2017-2019,45,0.002247,0.002245,96932.8,217.6,36.22,NA,0.001383,0.001382,98140.4,135.6,39.34
2017-2019,46,0.002347,0.002344,96715.2,226.7,35.3,NA,0.001522,0.00152,98004.7,149,38.4
