...1,...2,90 & over3,4,90-993,100 & over3,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105 & over
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persons,2002,20130,19740,390,4890,3910,3070,2440,1880,1280,910,670,420,260,160,110,60,30,20,20
NA,2003,20430,20020,410,4840,3990,3150,2410,1880,1430,940,650,460,290,180,90,60,30,20,20
NA,2004,20910,20470,440,5110,3970,3190,2460,1880,1410,1010,690,440,320,200,110,60,30,20,20
NA,2005,21160,20720,440,5050,4210,3210,2510,1860,1380,1040,690,480,290,190,110,70,40,20,20
NA,2006,21490,21060,430,4850,4190,3470,2560,1980,1440,1030,760,470,320,170,110,70,40,20,20
NA,2007,21620,21130,490,4760,3990,3450,2770,1990,1490,1070,740,530,330,220,100,80,40,20,20
NA,2008,21300,20790,510,4440,3930,3260,2770,2130,1520,1120,740,540,350,210,140,70,40,30,20
NA,2009,22550,21970,580,4970,3920,3400,2760,2250,1700,1190,860,540,390,250,150,80,50,30,30
NA,2010,24260,23670,590,6890,4090,3170,2670,2130,1640,1250,860,610,350,250,150,80,50,20,30
NA,2011,25880,25280,600,6740,5730,3340,2500,2090,1670,1240,930,610,440,240,160,90,50,30,30
NA,2012,27420,26720,700,6730,5690,4760,2720,2000,1620,1230,890,660,420,310,160,110,60,30,40
NA,2013,27800,27130,680,6280,5620,4670,3800,2110,1530,1170,880,610,460,270,180,90,60,30,30
NA,2014,28830,28060,760,6610,5300,4660,3780,3000,1650,1160,860,620,430,320,180,120,60,40,40
NA,2015,29060,28330,730,6540,5490,4310,3730,2950,2250,1230,850,600,410,290,200,110,60,40,40
NA,2016,29600,28890,710,6730,5490,4510,3480,2890,2220,1670,890,600,420,270,180,120,70,40,40
NA,2017,29760,29110,660,6590,5610,4500,3640,2690,2200,1650,1210,630,390,250,160,110,70,30,40
NA,2018,29680,29030,650,6440,5460,4600,3610,2820,2070,1620,1180,840,410,260,160,100,60,40,40
NA,2019,30520,29810,710,6810,5420,4540,3770,2860,2180,1560,1210,870,590,280,170,110,70,40,50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
